created_at,full_text,username
Tue May 28 12:56:54 +0000 2024, ada yang kaya sender gak ya sender mau bayar pinjol di apk super uang tapi sender sempet klik hapus data dan kehapus. Mau bayar tapi gak bisa karena ngulang dari awal walaupun input nomor yang sama udah coba email super uangnya ada yang tau kontak super uang?,tanyarlfes
Thu May 30 04:11:09 +0000 2024, aku capek bgt belom dpt2 kerja sbnrnya udah ada tp keterima di solo/jogja sedangkn ortuku gabakal bantu keuangan lg krn pensiun ortuku ga ngizinin kerja disana apa aku nekat ya pinjol dulu? jdnya aku stres,convomfs
Thu May 30 12:56:26 +0000 2024, Akun Tiktok @bank.bni.pinjaman2 Buka Pinjaman Online Melalui Whatsapp Berisikan konten mengenai pinjaman online hanya dengan menghubungi nomor Whatsapp yang tertera di bio akun Tiktok tersebut ... https://t.co/Y8PguLuGop,TurnBackHoax
Sun May 26 07:21:38 +0000 2024, apa ga sayang kak galbay legal dan ojk jelek kenapa ga pinjem di ilegal buat lunasin legal dan galbayin ilegal? well aku akan bilang aku gamau terjun makin dalam ke dunia pinjol banyak yang hutangnya numpuk karena terus galob tulob. jujur mentalku ga sekuat itu ,rsoxana
Wed May 29 05:04:30 +0000 2024,- batas usia 25 tahun - berpenampilan menarik - min pengalaman 5 tahun di bidang yang di ambil - bebas dari pinjol,BagasRanu3
Sun May 26 07:05:11 +0000 2024, emang nominal pinjol kakak berapa sih? dan pinjol dimana aja? aku jawab nominal dulu ya total pinjolku udah dua digit lengkapnya aku gatau karena aku ga pernah buka buka apk oren. mungkin belasan juta cuma belum sama bunganya. pinjol dimana aja aku harus cerita dulu -c-,rsoxana
Wed May 29 03:35:11 +0000 2024, gais kira2 ada gak ya yang bisa kasih aku pinjeman pribadi? Aku BU banget gara2 galob tulob di pinjol buat bayar hutang ortuku awalnya banyak yang saranin gali satu lobang aja yang bisa tempo panjang tapi dimana,tanyakanrl
Thu May 30 02:36:21 +0000 2024, gue dichat sama penagih pinjol yang katanya nomer gw dijadiin jaminan. Pas gue liat data orang yg minjem gue gak kenal samsek. Ini udah hari ke 3 atau 4. Gimana cara berhentiinnya? Gue udah muak ditelpon suruh ngingetin tuh orang yg bahkan gue gak kenal,tanyakanrl
Wed May 29 10:01:29 +0000 2024, guys ini scam pinjol atau bukan ya? soalnya tfnya udah dari 25 april dan ga ada orang yang ngechat *kebetulan temen sender ultah tanggal segitu tapi ga tau itu siapa https://t.co/8z26EJQWnm,tanyakanrl
Wed May 29 23:02:06 +0000 2024, HS mengaku melakukan pencurian sepeda motor untuk membayar utang pinjaman online... kata dia. https://t.co/WK9Q6z4oab,kompascom
Tue May 28 16:17:45 +0000 2024, jauhkan dari laki laki yang terjerat pinjol atau judol,ResitaSari03
Mon May 27 05:13:59 +0000 2024, Kak aku bisa dijokiin gak ya ? Tapi udh galbay dan banyak tolakan Jawaban nya gabisa ya nder mau dibawa kemana lagi kalo tolakan udh se playstore/ appstore. Makanya sebelum japo sebelum banyak tolakan mendingan dijokiin biar paham apk apa aja yg bisa galbay #zonauang #pinjol,rebibillyhills
Sun May 26 14:27:18 +0000 2024, mau pasang nomor nanti yang ngehubungin bukan kamu lagii - tar nomor pinjol lagi yg nelfon #tellonym https://t.co/Dfi0AnJDZ5,svodbka
Sun May 26 07:03:11 +0000 2024, papa kakak tau ga kakak kejebak pinjol? jawaban atas pertanyaan ini semua keluargaku gaada yang tau. aku anak terakhir dan dipandang mereka anak emas keluarga karena cuma aku yang bisa kuliah. aku ga berani buat bilang kalo anak mereka ini punya utang dengan nominal gede,rsoxana
Tue May 28 06:05:04 +0000 2024, sedangkan di suatu tempat nan jauh di mata namun dekat di bandung memperbolehkan bayar UKT menggunakan pinjol. https://t.co/JVxSJvzKQQ,tanyakanrl
Tue May 28 05:50:59 +0000 2024, tmn gue akunnya dipake pinjol sm tmnnya dan dia skrg dikejar kejar pinjol. dia ngemis2 minta ditalangi buat bulan ini tapi tmn gue ini pernah pinjem di gua 400rb ga dibalikin. jujur gue udh nolak tp dia maksa trs sampe skrg https://t.co/nPsj880SO6,tanyarlfes
Mon May 27 18:17:13 +0000 2024, Udah gajaman bayar pinjol pakai uang pribadi. Bayar sama gua pakai uang ilegal. kata penjual sambil congkak. Udah mental ngutang gamau bayar pula. Ini jelas-jelas didepan mata gadiberantas nih? Ganggu perekonomian lho banyak piutang ga terbayar. https://t.co/7Sk38VlgVa,angganalyst
Tue May 28 04:36:44 +0000 2024,- Verifikasi sampe 2 hari. Verifikasi pinjol aja bisa ga sampe sejam hmm. Kemaren Alhamdulillah bisa sehari. Lah kalau bisa sehari ngapain sampe 2 hari co Cetak STNK aja sampe sebulan. Ini mau cetak apa diukir di batu sii. Lama bgt. Males jdnya aku bayar pajak ke kepolisian ni,Lufthansaaa1
Tue May 28 12:40:17 +0000 2024,..gaji dipotong 3% utk iuran bpjs truz dipotong 3% lg utk tapera potongan lain2 akhirnya cm tanda tangan tanpa bawa plg uang. Ujung2nya nyari pinjol biar dapur tetap berasap,po_heng
Wed May 29 10:21:38 +0000 2024,..yg namanya nabung itu baru benar setelah dari total pendapatan dikurangi total pengeluaran msh ada sisanya. Jk besar pasak drpd tiang angin yg bisa ditabung. Jk dipaksain pd akhirnya pinjol yg diuber demi nutupi selisih. Pemerintah ngebet dorong rakyat ambil pinjol?,po_heng
Sun May 26 05:17:17 +0000 2024,@___luto @piscesmermaid7 @ruditattara @sbyfess Klo misalnya hasil pinjol wah bisa stroke itu,killua__dk
Tue May 28 23:39:05 +0000 2024,@__AnakKolong Kenapa pemerintah gak pinjol aja?,capungnagafly
Thu May 30 11:54:08 +0000 2024,@__AnakKolong Terlilit pinjol akibat judol yg disalahkan kebijakan KPR utk MBR (masyarakat berpenghasilan rendah). ,JustKaka04
Tue May 28 11:53:24 +0000 2024,@__AnakKolong Wkt covid bnyk pejabat ikutan bisnis vacsin Ada si ini si itu si anu Nah andai pinjol dilegalkan utk bantu mahasiswa baru ..ga tertutup kemungkinan para pejabat ikutan buka aplikasi pinjol ,RAbdinyo
Thu May 30 08:37:27 +0000 2024,@__anomali__ @Juragann_muda2 @ajegilelu1 @Marnischaniago2 @alfatih212426 @Kappa_2023 @AnakBalang_0705 @hlh_kntl @catz_nada2 @Capuchihome @Gue_Dilawan @TiniRahayu21 @HabanglaliK @JhontalJk @Froyo64 @FruitLover2345 @imamDouma @fmn99_gaming @antikadrunmuna @antikadrunbang @ricardo_bobby @anarchyhumanist @Royedy6 @ridho45916919 @NISAMODESTMOON @KatzNada3 @Atheis_Bergitar @anu318725175311 @Uncle__Holland @Yygrko @abu_hurahura @dimas2_P @Valhallaah @dimas1286478285 @Karsono12732862 @eeh_ito @catznada3 @PekanbaruRyu @Greschinove @katz_bornagain @dy04343703 @Amox1L1N @JokoPintar2 @xyz161803zyx @Momonsimomon @DocteurSilver @FajarUmbara_ @Iderjagadd Tambahin. nipu pinjol. Salah² bunuh orang.,johnhomebapa
Wed May 29 15:09:51 +0000 2024,@__whiteenle Lebih baik urusi pinjol yg banyak makan korban.,Dee06644722
Tue May 28 00:48:36 +0000 2024,@_haye_ demi dana pinjol dpr ian,yoonajah
Wed May 29 04:07:29 +0000 2024,@_honeyou Tapi aku gapernah pinjol wee makasih tipsnya yaa bisa juga di samsung ternyata,uniquelaterrr
Tue May 28 01:48:14 +0000 2024,@_hyeyeonchoi @dstray__ @danawallet @jokowi @kaesangp kenapa nuntut dana.. itu mah dia bloon aja main percaya. masa iya pihak dana nyuruh pinjol? ,cinuamonroll
Thu May 30 12:40:18 +0000 2024,@_Mellifluousx Kek di tele abis GA jadi akun pinjol asu lah,JaehyungieSmile
Thu May 30 11:23:55 +0000 2024,@_Mellifluousx LEBIH PARAH DARI PINJOL WKWKW,JaehyungieSmile
Sun May 26 10:38:38 +0000 2024,@_NeverAlonely Sudah lunas kok ditagih? Delernya yg bermasalah. Alhamdulillah meskipun w orang kecil w ga ada tagihan kredit motor atau pinjol. Insya Allah terus ikhtiar meskipun ada senilai paket data sebulan ga da riba dan orang yg benar dekat. Jadi saat w mati wali waris w mudah urusan nya.,kopiduasendok
Wed May 29 03:21:51 +0000 2024,@_oyemivoz Eh sumpah temennya cowokku juga ada yang begitu! Asal nyantumin nomer orang buat jadi kontak darurat. Pas diconfront terus diup ke twt dia kayak kenapa sih harus dibawa ke twitter segala pinjol ilegal mah gausah dibayar. ,littlekoreanvam
Sun May 26 07:09:34 +0000 2024,@_pohong @filosofikopid @sadili_safiq @kegblgnunfaedh udah menghilang id fb pegi namun tinggal cari pake kata kunci saja pegi setiawan banyak postingan2 yg udah d SS sama netizen,hapuskanpinjol
Mon May 27 12:51:20 +0000 2024,@_quelapis Pengennya on loewe tapi nanti aku malah lari dari dc pinjol :'),angstydork
Thu May 30 13:19:43 +0000 2024,@_sslmaa @virnotpir buat pinjol ya,nolahadid
Tue May 28 05:21:14 +0000 2024,@_tjendana Negara terjerat pinjol warganya terjerat judol hehe,HantuBlimbing_
Mon May 27 15:59:44 +0000 2024,@000deng89 taunya link pinjol WKWKWKWK,awspaw
Thu May 30 15:10:42 +0000 2024,@0xkyouki @andreasrtobing_ Jika kamu malas belajar money management malas belajar manajemen risiko maka memang hanya market yg mampu buat dirimu belajar. Apa yg akan trjdi kl lu pake duit pinjol? Emg ada berubah kl mindsetnya msh salah? Better lu ambil advice dr bang andreas aja. Telen mentah .,EditionJess
Thu May 30 11:52:16 +0000 2024,@2024survivepls Telbay gopay jangan dancil / oren karena rawan luar kondar,Aria_Consultant
