username,full_text,cleaned_text
tanyarlfes, ada yang kaya sender gak ya sender mau bayar pinjol di apk super uang tapi sender sempet klik hapus data dan kehapus. Mau bayar tapi gak bisa karena ngulang dari awal walaupun input nomor yang sama udah coba email super uangnya ada yang tau kontak super uang?,"['kayak', 'kirim', 'enggak', 'kirim', 'mau', 'bayar', 'pinjam', 'online', 'super', 'uang', 'kirim', 'sempat', 'klik', 'hapus', 'data', 'hapus', 'mau', 'bayar', 'enggak', 'karena', 'ngulang', 'awal', 'walaupun', 'input', 'nomor', 'yang', 'sama', 'coba', 'super', 'uang', 'yang', 'tau', 'kontak', 'super', 'uang']"
convomfs, aku capek bgt belom dpt2 kerja sbnrnya udah ada tp keterima di solo/jogja sedangkn ortuku gabakal bantu keuangan lg krn pensiun ortuku ga ngizinin kerja disana apa aku nekat ya pinjol dulu? jdnya aku stres,"['aku', 'capek', 'banget', 'dapat', 'kerja', 'benar', 'ada', 'terima', 'solo', 'jogja', 'orang', 'tua', 'ku', 'enggak', 'bakal', 'bantu', 'uang', 'karena', 'pensiun', 'orang', 'tua', 'ku', 'enggak', 'ngizinin', 'kerja', 'sana', 'apa', 'aku', 'nekat', 'pinjam', 'online', 'dulu', 'jdnya', 'aku', 'stres']"
TurnBackHoax, Akun Tiktok @bank.bni.pinjaman2 Buka Pinjaman Online Melalui Whatsapp Berisikan konten mengenai pinjaman online hanya dengan menghubungi nomor Whatsapp yang tertera di bio akun Tiktok tersebut ... https://t.co/Y8PguLuGop,"['akun', 'pinjam', 'buka', 'pinjam', 'online', 'lalu', 'risi', 'konten', 'kena', 'pinjam', 'online', 'dengan', 'hubung', 'nomor', 'tera', 'bio', 'akun', 'sebut']"
rsoxana, apa ga sayang kak galbay legal dan ojk jelek kenapa ga pinjem di ilegal buat lunasin legal dan galbayin ilegal? well aku akan bilang aku gamau terjun makin dalam ke dunia pinjol banyak yang hutangnya numpuk karena terus galob tulob. jujur mentalku ga sekuat itu ,"['apa', 'enggak', 'sayang', 'kak', 'gagal', 'bayar', 'legal', 'otoritas', 'jasa', 'uang', 'jelek', 'enggak', 'pinjam', 'ilegal', 'buat', 'lunasin', 'legal', 'galbayin', 'ilegal', 'jadi', 'aku', 'bilang', 'aku', 'enggak', 'mau', 'terjun', 'makin', 'ke', 'dunia', 'pinjam', 'online', 'banyak', 'hutang', 'numpuk', 'terus', 'gali', 'lubang', 'tutup', 'lubang', 'jujur', 'mental', 'enggak', 'kuat']"
BagasRanu3,- batas usia 25 tahun - berpenampilan menarik - min pengalaman 5 tahun di bidang yang di ambil - bebas dari pinjol,"['batas', 'usia', 'tahun', 'tampil', 'tarik', 'min', 'alam', 'tahun', 'bidang', 'di', 'ambil', 'bebas', 'pinjam', 'online']"
rsoxana, emang nominal pinjol kakak berapa sih? dan pinjol dimana aja? aku jawab nominal dulu ya total pinjolku udah dua digit lengkapnya aku gatau karena aku ga pernah buka buka apk oren. mungkin belasan juta cuma belum sama bunganya. pinjol dimana aja aku harus cerita dulu -c-,"['memang', 'nominal', 'pinjam', 'online', 'kakak', 'berapa', 'sih', 'pinjam', 'online', 'saja', 'aku', 'jawab', 'nominal', 'dulu', 'total', 'pinjolku', 'dua', 'digit', 'lengkap', 'aku', 'enggak', 'tau', 'aku', 'enggak', 'pernah', 'buka', 'buka', 'mungkin', 'bas', 'juta', 'cuma', 'sama', 'bunga', 'pinjam', 'online', 'saja', 'aku', 'cerita', 'dulu', 'sih']"
tanyakanrl, gais kira2 ada gak ya yang bisa kasih aku pinjeman pribadi? Aku BU banget gara2 galob tulob di pinjol buat bayar hutang ortuku awalnya banyak yang saranin gali satu lobang aja yang bisa tempo panjang tapi dimana,"['teman', 'teman', 'kira', 'enggak', 'kasih', 'aku', 'pinjeman', 'pribadi', 'aku', 'bu', 'banget', 'gara', 'gali', 'lubang', 'tutup', 'lubang', 'pinjam', 'online', 'buat', 'bayar', 'hutang', 'orang', 'tua', 'ku', 'awal', 'banyak', 'yang', 'saran', 'gali', 'satu', 'lubang', 'yang', 'tempo', 'panjang', 'mana']"
tanyakanrl, gue dichat sama penagih pinjol yang katanya nomer gw dijadiin jaminan. Pas gue liat data orang yg minjem gue gak kenal samsek. Ini udah hari ke 3 atau 4. Gimana cara berhentiinnya? Gue udah muak ditelpon suruh ngingetin tuh orang yg bahkan gue gak kenal,"['gue', 'dichat', 'sama', 'tagih', 'pinjam', 'online', 'kata', 'nomor', 'gue', 'jadi', 'jamin', 'pas', 'gue', 'lihat', 'data', 'orang', 'minjem', 'gue', 'enggak', 'kenal', 'sama', 'sekali', 'hari', 'atau', 'bagaimana', 'cara', 'henti', 'gue', 'sudah', 'muak', 'telpon', 'suruh', 'ingat', 'tuh', 'orang', 'bahkan', 'gue', 'enggak', 'kenal']"
tanyakanrl, guys ini scam pinjol atau bukan ya? soalnya tfnya udah dari 25 april dan ga ada orang yang ngechat *kebetulan temen sender ultah tanggal segitu tapi ga tau itu siapa https://t.co/8z26EJQWnm,"['teman', 'teman', 'tipu', 'pinjam', 'online', 'bukan', 'soal', 'tfnya', 'dari', 'april', 'enggak', 'orang', 'kirim', 'pesan', 'betul', 'teman', 'kirim', 'ulang', 'tahun', 'tanggal', 'segitu', 'enggak', 'tau', 'siapa']"
kompascom, HS mengaku melakukan pencurian sepeda motor untuk membayar utang pinjaman online... kata dia. https://t.co/WK9Q6z4oab,"['aku', 'laku', 'curi', 'sepeda', 'motor', 'bayar', 'utang', 'pinjam', 'online', 'kata']"
ResitaSari03, jauhkan dari laki laki yang terjerat pinjol atau judol,"['jauh', 'laki', 'laki', 'jerat', 'pinjam', 'online', 'judi', 'online']"
rebibillyhills, Kak aku bisa dijokiin gak ya ? Tapi udh galbay dan banyak tolakan Jawaban nya gabisa ya nder mau dibawa kemana lagi kalo tolakan udh se playstore/ appstore. Makanya sebelum japo sebelum banyak tolakan mendingan dijokiin biar paham apk apa aja yg bisa galbay #zonauang #pinjol,"['kak', 'aku', 'joki', 'kan', 'enggak', 'tapi', 'gagal', 'bayar', 'banyak', 'tolak', 'jawab', 'nya', 'enggak', 'ya', 'kirim', 'mau', 'bawa', 'lagi', 'kalau', 'tolak', 'se', 'makanya', 'jatuh', 'tempo', 'banyak', 'tolak', 'mending', 'di', 'joki', 'kan', 'biar', 'paham', 'apa', 'yang', 'gagal', 'bayar']"
svodbka, mau pasang nomor nanti yang ngehubungin bukan kamu lagii - tar nomor pinjol lagi yg nelfon #tellonym https://t.co/Dfi0AnJDZ5,"['mau', 'pasang', 'nomor', 'yang', 'ngehubungin', 'bukan', 'kamu', 'entar', 'nomor', 'pinjam', 'online', 'yang', 'nelfon']"
rsoxana, papa kakak tau ga kakak kejebak pinjol? jawaban atas pertanyaan ini semua keluargaku gaada yang tau. aku anak terakhir dan dipandang mereka anak emas keluarga karena cuma aku yang bisa kuliah. aku ga berani buat bilang kalo anak mereka ini punya utang dengan nominal gede,"['bapak', 'kakak', 'tau', 'enggak', 'kakak', 'jebak', 'pinjam', 'online', 'jawab', 'atas', 'tanya', 'semua', 'keluarga', 'enggak', 'tau', 'aku', 'anak', 'akhir', 'pandang', 'anak', 'emas', 'keluarga', 'cuma', 'aku', 'yang', 'bisa', 'kuliah', 'aku', 'enggak', 'berani', 'buat', 'bilang', 'kalau', 'anak', 'ini', 'punya', 'utang', 'nominal', 'besar']"
